
3       0
0.001	0
0.002	0
0.003	0
0.004	0
0.005	0
0.006	0
0.007	0
0.008	0
0.009	0
0.01	0.0002166
0.011	0.0098463
0.012	0.22516
0.013	2.4657
0.014	14.84
0.015	74.149
0.016	227.48
0.017	725.76
0.018	1686.2
0.019	2892.9
0.02	4468.6
0.021	6368.2
0.022	8790
0.023	11786
0.024	15362
0.025	19033
0.026	22931
0.027	26622
0.028	30400
0.029	33818
0.03	37180
0.031	39738
0.032	42261
0.033	44403
0.034	46505
0.035	47986
0.036	49252
0.037	50164
0.038	50917
0.039	51494
0.04	51990
0.041	52052
0.042	52013
0.043	51871
0.044	51721
0.045	51253
0.046	50634
0.047	50339
0.048	49994
0.049	48984
0.05	47918
0.051	47078
0.052	46186
0.053	45288
0.054	44347
0.055	43726
0.056	43080
0.057	58337
0.058	73754
0.059	86850
0.06	99954
0.061	71457
0.062	42631
0.063	38599
0.064	34514
0.065	33571
0.066	32520
0.067	42359
0.068	52249
0.069	42753
0.07	32970
0.071	28036
0.072	23091
0.073	22038
0.074	20895
0.075	20553
0.076	20264
0.077	19660
0.078	18963
0.079	18514
0.08	17802
0.081	17321
0.082	16534
0.083	16433
0.084	15862
0.085	15248
0.086	14628
0.087	14296
0.088	13972
0.089	13376
0.09	12773
0.091	12294
0.092	11802
0.093	11280
0.094	10714
0.095	10263
0.096	9815.1
0.097	9454.3
0.098	9097
0.099	8656.4
0.1	8215
0.101	7844.8
0.102	7460.5
0.103	7022.5
0.104	6527.4
0.105	6133.8
0.106	5747
0.107	5291.3
0.108	4844.9
0.109	4457.2
0.11	4046
0.111	3620
0.112	3206.7
0.113	2897.2
0.114	2613.8
0.115	2195.2
0.116	1742.4
0.117	1405.7
0.118	1056.2
0.119	711.85
0.12	0
